Time,Presenter,Title,Department
3:00-3:05 ,,"Introduction to the event - Arne Gericke, CBC Department Head",
3:05-3:13,ML Tlachac,Collecting Data to Screen for Student Mental Health,"Data Science, PhD"
3:13-3:21,Abhishek Kulkarni,Designing Robots that Deceive: A Formal Methods Approach,"Robotics Engineering, PhD"
3:21-3:29,Teagan Bate,Self-organization and mixing of microtubule-kinesin active fluid in an activity gradient,"Physics, PhD"
3:29-3:37,Huaming Sun,Using machine learning to understand the determinants of mRNA stability in mycobacteria,"Bioinformatics and Computational Biology, PhD"
3:37-3:45,Elizabeth DiLorento,How Infection Alters the Brain,"Biology and Biotechnology, PhD"
3:45-3:52,Guin Gilman,Concurrent Kernel Scheduling on NVIDIA GPUs,"Computer Science, PhD"
3:52-4:00,Julia Martin,"Strategies Toward Inexpensive, Efficient, and Scalable Solar Energy","Chemistry and Biochemistry, PhD"
4:00-4:08,Elisa Negrini,System Identification Through Lipschitz Regularized Deep Neural Networks,"Mathematical Sciences, PhD"
4:08-4:16,Karen Royer,Code Crafters,"Interactive Media and Game Design, PhD"
4:16-4:24,Geri Dimas,Modeling the Defensive Asylum Process: How Data Science Can Help,"Data Science, PhD"
4:24-4:32,Hannah Smith,Rotation = Adaptation: How Mental Rotation Skills Can Make You a Better Mathematician,"Learning Sciences & Technologies, PhD"
4:32-4:40,Sabine Hahn,Epigenetic regulation of chromosome segregation,"Biology & Biotechnology, PhD"
4:40-4:48,Yanzhao Wang,Spatio-temporal outbreak detection: Bayesian Hierarchical Modeling,"Mathematical Sciences, Statistics, PhD"